time , r , theta , vr , vtheta , ar  , atheta
179.30174,2.0,58.702404,0.0,0.35361958,-0.0,-7.906557E-6
179.40175,2.0,58.737766,0.0,0.35362408,-0.0,-6.619096E-6
179.50175,2.0,58.77313,0.0,0.3536245,-0.0,-7.069111E-6
179.60176,2.0,58.80849,0.0,0.35363337,-0.0,-7.1108343E-6
179.70177,2.0,58.843853,0.0,0.3536359,-0.0,-7.998943E-6
179.80177,2.0,58.879215,0.0,0.3536216,-0.0,-8.252263E-6
179.90178,2.0,58.914577,0.0,0.35362855,-0.0,-6.821752E-6
180.00179,2.0,58.94994,0.0,0.3536301,-0.0,-7.5161456E-6
180.10179,2.0,58.985302,0.0,0.35362968,-0.0,-7.671118E-6
180.2018,2.0,59.020664,0.0,0.3536279,-0.0,-7.6293945E-6
180.3018,2.0,59.056026,0.0,0.3536305,-0.0,-7.4505806E-6
180.40181,2.0,59.09139,0.0,0.35362548,-0.0,-7.712842E-6
180.50182,2.0,59.126755,0.0,0.3536463,-0.0,-7.209182E-6
180.60182,2.0,59.16212,0.0,0.3536491,-0.0,-9.292365E-6
180.70183,2.0,59.197483,0.0,0.35364127,-0.0,-9.572506E-6
180.80183,2.0,59.232845,0.0,0.35363325,-0.0,-8.788705E-6
180.90184,2.0,59.268208,0.0,0.3536215,-0.0,-7.987022E-6
181.00185,2.0,59.30357,0.0,0.3536103,-0.0,-6.812811E-6
181.10185,2.0,59.338932,0.0,0.35361096,-0.0,-5.6922436E-6
181.20186,2.0,59.37429,0.0,0.3536024,-0.0,-5.7578086E-6
181.30186,2.0,59.40965,0.0,0.3535761,-0.0,-4.902482E-6
181.40187,2.0,59.445007,0.0,0.35357785,-0.0,-2.270937E-6
181.50188,2.0,59.480366,0.0,0.35357353,-0.0,-2.4467706E-6
181.60188,2.0,59.51572,0.0,0.35354564,-0.0,-2.014637E-6
181.70189,2.0,59.551075,0.0,0.35355026,-0.0,7.748604E-7
181.8019,2.0,59.58643,0.0,0.3535539,-0.0,3.1292439E-7
181.9019,2.0,59.621784,0.0,0.3535406,-0.0,-5.066395E-8
182.0019,2.0,59.65714,0.0,0.353548,-0.0,1.2785197E-6
182.10191,2.0,59.692493,0.0,0.35353827,-0.0,5.3942205E-7
182.20192,2.0,59.727848,0.0,0.35352957,-0.0,1.5109778E-6
182.30193,2.0,59.763203,0.0,0.35353416,-0.0,2.3812056E-6
182.40193,2.0,59.798557,0.0,0.35353646,-0.0,1.9222498E-6
182.50194,2.0,59.83391,0.0,0.3535548,-0.0,1.6927719E-6
182.60194,2.0,59.869267,0.0,0.35354614,-0.0,-1.4007092E-7
182.70195,2.0,59.90462,0.0,0.35354257,-0.0,7.2419647E-7
182.80196,2.0,59.939976,0.0,0.35353845,-0.0,1.0818243E-6
182.90196,2.0,59.975327,0.0,0.35352686,-0.0,1.4930964E-6
183.00197,2.0,60.010677,0.0,0.35351452,-0.0,2.6524067E-6
183.10197,2.0,60.04603,0.0,0.35351828,-0.0,3.886223E-6
183.20198,2.0,60.08138,0.0,0.35351998,-0.0,3.5107137E-6
183.30199,2.0,60.116734,0.0,0.35352898,-0.0,3.3408403E-6
183.402,2.0,60.15209,0.0,0.35352817,-0.0,2.4408102E-6
183.502,2.0,60.18744,0.0,0.35351905,-0.0,2.5212764E-6
183.602,2.0,60.22279,0.0,0.35352242,-0.0,3.4332277E-6
183.70201,2.0,60.25814,0.0,0.35352173,-0.0,3.0964613E-6
183.80202,2.0,60.293495,0.0,0.35353443,-0.0,3.1650068E-6
